"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/Poly.h", "C++", 0, 9, 2, 0, 11
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyAdd.c", "C", 17, 0, 0, 7, 24
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyCreate.c", "C", 27, 0, 0, 1, 28
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/main.c", "C", 0, 0, 0, 1, 1
"Total", "-", 44, 9, 2, 9, 64
