NodeNumber,X,Y,Z
1,0.0,10.0,0.0
2,0.0,9.979453927503364,0.6407021998071292
3,0.0,9.917900138232461,1.27877161684506
4,0.0,9.815591569910653,1.9115862870137228
5,0.0,9.672948630390295,2.5365458390950737
6,0.0,9.490557470106687,3.1510821802362066
7,0.0,9.269167573460217,3.7526700487937408
8,0.0,9.009688679024192,4.3388373911755815
9,0.0,8.713187041233894,4.907175520039378
10,0.0,8.380881048918408,5.455349012105486
11,0.0,8.014136218679567,5.981105304912159
12,0.0,7.614459583691344,6.482283953077884
13,0.0,7.183493500977276,6.956825506034864
14,0.0,6.723008902613169,7.402779970753155
15,0.0,6.2348980185873355,7.818314824680298
16,0.0,5.721166601221697,8.20172254596956
17,0.0,5.183925683105252,8.55142763005346
18,0.0,4.625382902408354,8.86599306373
19,0.0,4.04783343122394,9.144126230158124
20,0.0,3.4536505442130783,9.384684220497604
21,0.0,2.8452758663103266,9.586678530366605
22,0.0,2.2252093395631443,9.749279121818237
23,0.0,1.5959989503337932,9.871817834144501
24,0.0,0.9602302590768188,9.953791129491982
25,0.0,0.3205157757165533,9.994862162006878
26,0.0,-0.3205157757165499,9.994862162006878
27,0.0,-0.9602302590768154,9.953791129491982
28,0.0,-1.5959989503337897,9.871817834144501
29,0.0,-2.2252093395631434,9.749279121818237
30,0.0,-2.8452758663103235,9.586678530366607
31,0.0,-3.453650544213075,9.384684220497604
32,0.0,-4.047833431223936,9.144126230158125
33,0.0,-4.625382902408351,8.86599306373
34,0.0,-5.183925683105251,8.551427630053462
35,0.0,-5.721166601221695,8.201722545969561
36,0.0,-6.234898018587335,7.818314824680299
37,0.0,-6.723008902613166,7.402779970753157
38,0.0,-7.183493500977275,6.956825506034865
39,0.0,-7.6144595836913425,6.4822839530778875
40,0.0,-8.014136218679566,5.981105304912161
41,0.0,-8.380881048918404,5.45534901210549
42,0.0,-8.713187041233892,4.907175520039381
43,0.0,-9.00968867902419,4.338837391175582
44,0.0,-9.269167573460216,3.7526700487937448
45,0.0,-9.490557470106687,3.151082180236209
46,0.0,-9.672948630390293,2.536545839095078
47,0.0,-9.815591569910653,1.9115862870137255
48,0.0,-9.917900138232461,1.278771616845065
49,0.0,-9.979453927503364,0.6407021998071323
50,0.0,-10.0,1.2246467991473533e-15
51,2.6315789473684212,10.0,0.0
52,2.6315789473684212,9.979453927503364,0.6407021998071292
53,2.6315789473684212,9.917900138232461,1.27877161684506
54,2.6315789473684212,9.815591569910653,1.9115862870137228
55,2.6315789473684212,9.672948630390295,2.5365458390950737
56,2.6315789473684212,9.490557470106687,3.1510821802362066
57,2.6315789473684212,9.269167573460217,3.7526700487937408
58,2.6315789473684212,9.009688679024192,4.3388373911755815
59,2.6315789473684212,8.713187041233894,4.907175520039378
60,2.6315789473684212,8.380881048918408,5.455349012105486
61,2.6315789473684212,8.014136218679567,5.981105304912159
62,2.6315789473684212,7.614459583691344,6.482283953077884
63,2.6315789473684212,7.183493500977276,6.956825506034864
64,2.6315789473684212,6.723008902613169,7.402779970753155
65,2.6315789473684212,6.2348980185873355,7.818314824680298
66,2.6315789473684212,5.721166601221697,8.20172254596956
67,2.6315789473684212,5.183925683105252,8.55142763005346
68,2.6315789473684212,4.625382902408354,8.86599306373
69,2.6315789473684212,4.04783343122394,9.144126230158124
70,2.6315789473684212,3.4536505442130783,9.384684220497604
71,2.6315789473684212,2.8452758663103266,9.586678530366605
72,2.6315789473684212,2.2252093395631443,9.749279121818237
73,2.6315789473684212,1.5959989503337932,9.871817834144501
74,2.6315789473684212,0.9602302590768188,9.953791129491982
75,2.6315789473684212,0.3205157757165533,9.994862162006878
76,2.6315789473684212,-0.3205157757165499,9.994862162006878
77,2.6315789473684212,-0.9602302590768154,9.953791129491982
78,2.6315789473684212,-1.5959989503337897,9.871817834144501
79,2.6315789473684212,-2.2252093395631434,9.749279121818237
80,2.6315789473684212,-2.8452758663103235,9.586678530366607
81,2.6315789473684212,-3.453650544213075,9.384684220497604
82,2.6315789473684212,-4.047833431223936,9.144126230158125
83,2.6315789473684212,-4.625382902408351,8.86599306373
84,2.6315789473684212,-5.183925683105251,8.551427630053462
85,2.6315789473684212,-5.721166601221695,8.201722545969561
86,2.6315789473684212,-6.234898018587335,7.818314824680299
87,2.6315789473684212,-6.723008902613166,7.402779970753157
88,2.6315789473684212,-7.183493500977275,6.956825506034865
89,2.6315789473684212,-7.6144595836913425,6.4822839530778875
90,2.6315789473684212,-8.014136218679566,5.981105304912161
91,2.6315789473684212,-8.380881048918404,5.45534901210549
92,2.6315789473684212,-8.713187041233892,4.907175520039381
93,2.6315789473684212,-9.00968867902419,4.338837391175582
94,2.6315789473684212,-9.269167573460216,3.7526700487937448
95,2.6315789473684212,-9.490557470106687,3.151082180236209
96,2.6315789473684212,-9.672948630390293,2.536545839095078
97,2.6315789473684212,-9.815591569910653,1.9115862870137255
98,2.6315789473684212,-9.917900138232461,1.278771616845065
99,2.6315789473684212,-9.979453927503364,0.6407021998071323
100,2.6315789473684212,-10.0,1.2246467991473533e-15
101,5.2631578947368425,10.0,0.0
102,5.2631578947368425,9.979453927503364,0.6407021998071292
103,5.2631578947368425,9.917900138232461,1.27877161684506
104,5.2631578947368425,9.815591569910653,1.9115862870137228
105,5.2631578947368425,9.672948630390295,2.5365458390950737
106,5.2631578947368425,9.490557470106687,3.1510821802362066
107,5.2631578947368425,9.269167573460217,3.7526700487937408
108,5.2631578947368425,9.009688679024192,4.3388373911755815
109,5.2631578947368425,8.713187041233894,4.907175520039378
110,5.2631578947368425,8.380881048918408,5.455349012105486
111,5.2631578947368425,8.014136218679567,5.981105304912159
112,5.2631578947368425,7.614459583691344,6.482283953077884
113,5.2631578947368425,7.183493500977276,6.956825506034864
114,5.2631578947368425,6.723008902613169,7.402779970753155
115,5.2631578947368425,6.2348980185873355,7.818314824680298
116,5.2631578947368425,5.721166601221697,8.20172254596956
117,5.2631578947368425,5.183925683105252,8.55142763005346
118,5.2631578947368425,4.625382902408354,8.86599306373
119,5.2631578947368425,4.04783343122394,9.144126230158124
120,5.2631578947368425,3.4536505442130783,9.384684220497604
121,5.2631578947368425,2.8452758663103266,9.586678530366605
122,5.2631578947368425,2.2252093395631443,9.749279121818237
123,5.2631578947368425,1.5959989503337932,9.871817834144501
124,5.2631578947368425,0.9602302590768188,9.953791129491982
